segment_id,road_name,road_type,risk_category,road_risk_score,ai_risk_label,ai_risk_probability,prob_low_risk,prob_medium_risk,prob_high_risk,prob_critical_risk,ai_recommended_speed,recommended_safe_speed,road_function_score,infrastructure_score,exposure_score,human_tolerance_limit,operating_speed_score,crash_risk_score,start_km,end_km,start_lat,start_lon,end_lat,end_lon,geometry,posted_speed_limit,pedestrian_exposure_score,blackspot_flag,crash_count,fatal_crashes,schools_count,lighting_quality,roadside_hazards,intersection_density,speed_compliance_rate,speed_violation_score,hotspot_score,hotspot_category,human_segment_id,internal_id,speed_safety_score,original_safe_speed,misalignment_score,misalignment_category,speed_p85,ptw_share_pct,exposure_tier,urban_rural_flag,lane_count,median_presence,land_use_type,top_ai_factors,corridor_base,corridor_seq,congestion_index,congestion_category,congestion_smoothed,operating_speed_mean
517,Anekal-Attibele Rd (SH-82) Seg-11,Highway,Aligned,16,Aligned,0.8085379667282354,0.8085379667282354,0.1785520915725308,0.012893495084460561,1.6446614773291222e-05,51,51,100.0,21.2,19.3,80,80.0,0,7.168,8.064,12.746363636363636,77.74954545454545,12.75090909090909,77.75636363636363,"LINESTRING(77.749545 12.746364, 77.756364 12.750909)",60,14.0,No,0,0,0,Good,Low,0.18,1.0,0.0,21.2,Safe,SEG-00517,SEG_000000517,74.1,51,16.9,Aligned,50.9,40.8,Separated Traffic,Rural,7,True,Residential,Poor Infrastructure,Anekal-Attibele Rd (SH-82),10,0.0,,False,46.7
518,Anekal-Attibele Rd (SH-82) Seg-12,Highway,Moderate Misalignment,26,Moderate Misalignment,0.5006166862480741,0.5006166862480741,0.47131480138102727,0.0280491534762746,1.9358894624054386e-05,67,67,100.0,10.6,19.1,80,50.7,0,8.064,8.96,12.75090909090909,77.75636363636363,12.755454545454546,77.76318181818182,"LINESTRING(77.756364 12.750909, 77.763182 12.755455)",90,12.5,No,0,0,0,Poor,High,0.14,1.0,0.0,29.3,Moderate Risk,SEG-00518,SEG_000000518,63.5,67,31.1,Moderate Misalignment,66.6,42.2,Separated Traffic,Rural,6,True,Residential,Poor Infrastructure | Above Human Tolerance Limit,Anekal-Attibele Rd (SH-82),11,0.0,,False,57.1
519,Anekal-Attibele Rd (SH-82) Seg-13,Highway,Moderate Misalignment,36,Moderate Misalignment,0.8181493203270532,0.1635589916511012,0.8181493203270532,0.018184062345008693,0.00010762567683689643,80,80,100.0,4.7,12.2,80,94.1,0,8.959999999999999,9.856,12.755454545454546,77.76318181818182,12.76,77.77,"LINESTRING(77.763182 12.755455, 77.77 12.76)",80,3.1,No,0,0,0,Poor,High,0.18,0.89,11.0,25.3,Moderate Risk,SEG-00519,SEG_000000519,65.6,80,25.5,Moderate Misalignment,88.6,35.1,Separated Traffic,Rural,8,True,Commercial,Poor Infrastructure,Anekal-Attibele Rd (SH-82),12,0.0,,False,76.1
520,Anekal-Attibele Rd (SH-82) Seg-14,Highway,Moderate Misalignment,42,Moderate Misalignment,0.6159334902570047,0.18611793348058606,0.6159334902570047,0.16848557076009946,0.02946300550230971,50,50,100.0,14.1,19.3,50,82.8,0,9.856000000000002,10.729,12.76,77.77,12.762307692307692,77.7776923076923,"LINESTRING(77.77 12.76, 77.777692 12.762308)",60,11.4,No,0,0,1,Poor,Medium,0.17,1.0,0.0,28.8,Moderate Risk,SEG-00520,SEG_000000520,64.3,50,30.8,Moderate Misalignment,52.7,44.6,Side Impact Potential,Rural,5,False,Residential,Poor Infrastructure | Above Human Tolerance Limit,Anekal-Attibele Rd (SH-82),13,0.0,,False,48.5
521,Anekal-Attibele Rd (SH-82) Seg-15,Highway,Moderate Misalignment,38,Moderate Misalignment,0.8668967899320243,0.10866112157342805,0.8668967899320243,0.024414215995374,2.787249917370634e-05,71,71,100.0,14.1,18.8,80,92.0,0,10.729,11.602,12.762307692307692,77.7776923076923,12.764615384615384,77.78538461538461,"LINESTRING(77.777692 12.762308, 77.785385 12.764615)",60,9.4,No,0,0,0,Poor,Medium,0.16,0.82,18.0,27.7,Moderate Risk,SEG-00521,SEG_000000521,65.5,71,28.9,Moderate Misalignment,70.9,46.5,Separated Traffic,Rural,4,True,Mixed,Poor Infrastructure,Anekal-Attibele Rd (SH-82),14,0.172,Light,False,54.7
522,Anekal-Attibele Rd (SH-82) Seg-16,Highway,Aligned,22,Aligned,0.6197677267621049,0.6197677267621049,0.36908890425059226,0.011136631057452676,6.737929849978134e-06,65,65,100.0,0.0,13.1,80,71.8,0,11.602,12.475,12.764615384615384,77.78538461538461,12.766923076923076,77.79307692307692,"LINESTRING(77.785385 12.764615, 77.793077 12.766923)",70,4.1,No,0,0,0,Good,Low,0.16,1.0,0.0,22.0,Safe,SEG-00522,SEG_000000522,69.5,65,17.5,Aligned,65.0,36.8,Separated Traffic,Rural,4,True,Residential,Poor Infrastructure,Anekal-Attibele Rd (SH-82),15,0.14,Light,False,51.2
523,Anekal-Attibele Rd (SH-82) Seg-17,Highway,Moderate Misalignment,40,Moderate Misalignment,0.9211120691674465,0.050290931122034366,0.9211120691674465,0.02816424865404473,0.0004327510564742096,80,80,100.0,10.6,14.4,80,99.8,0,12.475,13.348,12.766923076923076,77.79307692307692,12.769230769230768,77.80076923076923,"LINESTRING(77.793077 12.766923, 77.800769 12.769231)",80,6.9,No,0,0,0,Poor,Low,0.14,0.77,23.0,30.2,Moderate Risk,SEG-00523,SEG_000000523,60.9,80,35.4,Moderate Misalignment,98.2,35.1,Separated Traffic,Rural,4,True,Residential,Poor Infrastructure,Anekal-Attibele Rd (SH-82),16,0.0,,False,79.9
524,Anekal-Attibele Rd (SH-82) Seg-18,Highway,Moderate Misalignment,48,Moderate Misalignment,0.6311046210289769,0.07353664642050281,0.6311046210289769,0.29525616795472126,0.00010256459579909771,50,50,100.0,0.0,13.8,50,59.8,0,13.348,14.221,12.769230769230768,77.80076923076923,12.77153846153846,77.80846153846154,"LINESTRING(77.800769 12.769231, 77.808462 12.771538)",90,3.4,No,0,0,0,Poor,High,0.13,1.0,0.0,48.2,Moderate Risk,SEG-00524,SEG_000000524,38.2,50,69.6,High Misalignment,82.8,39.6,Side Impact Potential,Rural,7,False,Residential,Speed Limit Misaligned | Poor Infrastructure | Above Human Tolerance Limit,Anekal-Attibele Rd (SH-82),17,0.18,Light,False,63.2
525,Anekal-Attibele Rd (SH-82) Seg-19,Highway,Moderate Misalignment,43,Moderate Misalignment,0.7915514977088984,0.07348418030332596,0.7915514977088984,0.13482546379357951,0.00013885819419610614,46,46,100.0,18.8,17.5,50,66.7,0,14.221,15.094,12.77153846153846,77.80846153846154,12.773846153846153,77.81615384615385,"LINESTRING(77.808462 12.771538, 77.816154 12.773846)",60,8.7,No,0,0,0,Good,Medium,0.12,1.0,0.0,27.2,Moderate Risk,SEG-00525,SEG_000000525,66.1,46,29.5,Moderate Misalignment,46.5,42.4,Side Impact Potential,Rural,8,False,Industrial,Poor Infrastructure | Above Human Tolerance Limit,Anekal-Attibele Rd (SH-82),18,0.0,,False,37.8
526,Anekal-Attibele Rd (SH-82) Seg-20,Highway,Moderate Misalignment,33,Moderate Misalignment,0.5661321121596508,0.5661321121596508,0.14661420845044762,0.2872156940070571,3.798538284460607e-05,68,68,100.0,9.4,21.8,80,82.6,0,15.094,15.967,12.773846153846153,77.81615384615385,12.776153846153846,77.82384615384615,"LINESTRING(77.816154 12.773846, 77.823846 12.776154)",70,15.1,No,0,0,0,Poor,High,0.14,1.0,0.0,24.2,Safe,SEG-00526,SEG_000000526,70.3,68,19.3,Aligned,67.6,46.8,Separated Traffic,Rural,4,True,Commercial,Poor Infrastructure,Anekal-Attibele Rd (SH-82),19,0.0,,False,58.4
527,Anekal-Attibele Rd (SH-82) Seg-21,Highway,Moderate Misalignment,46,Moderate Misalignment,0.7723313002699682,0.02982695831116378,0.7723313002699682,0.18088036228523388,0.01696137913363422,50,50,100.0,0.0,16.7,50,89.5,0,15.967,16.84,12.776153846153846,77.82384615384615,12.77846153846154,77.83153846153846,"LINESTRING(77.823846 12.776154, 77.831538 12.778462)",90,9.5,No,0,0,0,Good,Medium,0.14,0.95,5.0,51.9,High Risk,SEG-00527,SEG_000000527,34.7,50,75.5,Critical Misalignment,94.8,39.2,Side Impact Potential,Rural,6,False,Industrial,Speed Limit Misaligned | Poor Infrastructure | Above Human Tolerance Limit,Anekal-Attibele Rd (SH-82),20,0.0,,False,83.0
528,Anekal-Attibele Rd (SH-82) Seg-22,Highway,Moderate Misalignment,38,Moderate Misalignment,0.4589163928111024,0.3211944950711745,0.4589163928111024,0.21957098875899494,0.0003181233587283207,80,80,100.0,0.0,16.3,80,86.3,0,16.84,17.713,12.77846153846154,77.83153846153846,12.78076923076923,77.83923076923077,"LINESTRING(77.831538 12.778462, 77.839231 12.780769)",90,4.3,No,0,0,0,Poor,Low,0.1,0.88,12.0,35.5,Moderate Risk,SEG-00528,SEG_000000528,54.3,80,42.8,Moderate Misalignment,100.9,46.4,Separated Traffic,Rural,4,True,Residential,Poor Infrastructure | Above Human Tolerance Limit,Anekal-Attibele Rd (SH-82),21,0.0,,False,80.9
529,Anekal-Attibele Rd (SH-82) Seg-23,Highway,Moderate Misalignment,37,Moderate Misalignment,0.8700251596488333,0.11231576468465695,0.8700251596488333,0.017318356269436765,0.0003407193970731139,80,80,100.0,15.3,12.9,80,88.3,0,17.712999999999997,18.586,12.78076923076923,77.83923076923077,12.783076923076925,77.84692307692308,"LINESTRING(77.839231 12.780769, 77.846923 12.783077)",60,4.7,No,0,0,0,Poor,Low,0.13,0.66,34.0,30.0,Moderate Risk,SEG-00529,SEG_000000529,61.0,80,36.7,Moderate Misalignment,80.5,34.9,Separated Traffic,Rural,8,True,Industrial,Poor Infrastructure,Anekal-Attibele Rd (SH-82),22,0.0,,False,67.8
530,Anekal-Attibele Rd (SH-82) Seg-24,Highway,Moderate Misalignment,41,Moderate Misalignment,0.8582232154923318,0.05528892138739686,0.8582232154923318,0.08626866773516333,0.0002191953851079173,80,60,100.0,0.0,12.0,80,99.3,0,18.586,19.459,12.783076923076925,77.84692307692308,12.785384615384617,77.85461538461539,"LINESTRING(77.846923 12.783077, 77.854615 12.785385)",80,2.6,No,0,0,0,Poor,Low,0.11,0.66,34.0,35.7,Moderate Risk,SEG-00530,SEG_000000530,52.8,60,45.4,Moderate Misalignment,107.3,35.6,Separated Traffic,Rural,4,True,Residential,Approach to Congestion (Tapered) | Poor Infrastructure,Anekal-Attibele Rd (SH-82),23,0.194,Light,True,80.4
531,Anekal-Attibele Rd (SH-82) Seg-25,Highway,Moderate Misalignment,40,Moderate Misalignment,0.9810641681790007,0.01238958776039789,0.9810641681790007,0.0065453023843539335,9.416762475914343e-07,80,40,100.0,0.0,14.0,80,0.1,0,19.459,20.332,12.785384615384617,77.85461538461539,12.787692307692309,77.8623076923077,"LINESTRING(77.854615 12.785385, 77.862308 12.787692)",90,0.3,No,0,0,0,Poor,Low,0.1,0.92,8.0,32.6,Moderate Risk,SEG-00531,SEG_000000531,57.0,40,38.3,Moderate Misalignment,97.3,46.1,Separated Traffic,Rural,7,True,Residential,Active Congestion | Poor Infrastructure | Above Human Tolerance Limit,Anekal-Attibele Rd (SH-82),24,0.772,Severe,False,23.4
532,Anekal-Attibele Rd (SH-82) Seg-26,Highway,Moderate Misalignment,39,Moderate Misalignment,0.9158813559965918,0.06556520012518624,0.9158813559965918,0.01853130140015897,2.2142478062862774e-05,76,76,100.0,0.0,19.0,80,95.1,0,20.332,21.205,12.787692307692309,77.8623076923077,12.79,77.87,"LINESTRING(77.862308 12.787692, 77.87 12.79)",60,9.3,No,0,0,0,Poor,Medium,0.11,0.74,26.0,32.6,Moderate Risk,SEG-00532,SEG_000000532,58.6,76,35.6,Moderate Misalignment,75.5,46.4,Separated Traffic,Rural,4,True,Residential,Poor Infrastructure,Anekal-Attibele Rd (SH-82),25,0.0,,False,63.2
533,Arterial Rd Zone0-533,Arterial,Aligned,11,Aligned,0.9737854863929265,0.9737854863929265,0.025021196490400004,0.001177488551889428,1.5828564784001398e-05,35,35,85.5,31.8,26.8,50,79.9,0,0.0,0.274,12.932811864007707,77.61068484861616,12.934365919867057,77.60872217485212,"LINESTRING(77.610685 12.932812, 77.608722 12.934366)",40,18.9,No,0,0,0,Poor,Medium,2.04,1.0,0.0,22.6,Safe,SEG-00533,SEG_000000533,75.5,35,18.1,Aligned,35.3,55.0,Side Impact Potential,Urban,5,True,Residential,Poor Infrastructure,Arterial Rd Zone0-533,0,0.181,Light,False,26.6
534,Arterial Rd Zone0-534,Arterial,Aligned,12,Aligned,0.9508863002355724,0.9508863002355724,0.04017791614768195,0.008898517459704996,3.726615704066226e-05,30,25,88.0,36.5,29.2,50,53.6,0,0.0,0.343,12.980843300799275,77.55345922466337,12.98298328584666,77.55574289898308,"LINESTRING(77.553459 12.980843, 77.555743 12.982983)",40,20.4,No,0,0,0,Good,Medium,1.81,1.0,0.0,22.8,Safe,SEG-00534,SEG_000000534,76.3,25,18.3,Aligned,30.1,62.3,Side Impact Potential,Urban,6,True,Commercial,Active Congestion,Arterial Rd Zone0-534,0,0.701,Severe,False,9.1
535,Arterial Rd Zone0-535,Arterial,Aligned,14,Aligned,0.884432922988231,0.884432922988231,0.08964045728770867,0.025298555657379013,0.0006280640666810987,39,39,85.5,30.6,44.4,50,71.6,0,0.0,0.389,12.986962786066767,77.56255289414818,12.983680444936748,77.56380360414596,"LINESTRING(77.562553 12.986963, 77.563804 12.98368)",50,43.3,No,0,0,1,Poor,Low,1.81,1.0,0.0,30.2,Moderate Risk,SEG-00535,SEG_000000535,71.5,39,24.3,Aligned,39.3,65.1,Side Impact Potential,Urban,5,True,Residential,Poor Infrastructure,Arterial Rd Zone0-535,0,0.134,Light,False,31.1
536,Arterial Rd Zone0-536,Arterial,Moderate Misalignment,43,Moderate Misalignment,0.7917367452276248,0.05875499602831664,0.7917367452276248,0.14948233287474386,2.5925869314624944e-05,30,30,72.5,45.9,53.2,30,70.7,0,0.0,0.494,12.941318252336012,77.56080745153791,12.941543705966422,77.55625859180302,"LINESTRING(77.560807 12.941318, 77.556259 12.941544)",50,60.0,No,0,0,1,Poor,High,1.65,1.0,0.0,44.4,Moderate Risk,SEG-00536,SEG_000000536,58.4,30,51.3,High Misalignment,42.4,65.4,Significant Pedestrian Interaction,Urban,3,False,Industrial,Speed Limit Misaligned | High Pedestrian Interaction | Above Human Tolerance Limit,Arterial Rd Zone0-536,0,0.231,Light,False,30.5
537,Arterial Rd Zone0-537,Arterial,Aligned,17,Aligned,0.7693794974901602,0.7693794974901602,0.22485493050332406,0.005702164791579046,6.34072149364778e-05,38,25,80.0,25.9,33.8,50,42.3,0,0.0,0.289,12.98594215378936,77.63519071539497,12.983399029090144,77.6357444975463,"LINESTRING(77.635191 12.985942, 77.635744 12.983399)",50,26.3,No,0,0,0,Good,Medium,1.84,1.0,0.0,26.5,Moderate Risk,SEG-00537,SEG_000000537,72.4,25,21.3,Aligned,37.8,63.4,Side Impact Potential,Urban,6,False,Commercial,Active Congestion | Poor Infrastructure,Arterial Rd Zone0-537,0,0.7,Severe,False,11.6
538,Arterial Rd Zone0-538,Arterial,Aligned,11,Aligned,0.9745681592475932,0.9745681592475932,0.024345436907544437,0.0010651878177448833,2.12160271173716e-05,35,35,72.5,49.4,32.9,50,71.4,0,0.0,0.368,13.01102147706345,77.58622500070561,13.009503581386664,77.5892432527395,"LINESTRING(77.586225 13.011021, 77.589243 13.009504)",50,26.1,No,0,0,0,Poor,Low,2.21,1.0,0.0,22.2,Safe,SEG-00538,SEG_000000538,79.1,35,17.9,Aligned,35.1,60.4,Side Impact Potential,Urban,3,False,Residential,Meets Safe System Standards,Arterial Rd Zone0-538,0,0.0,,False,30.9
539,Arterial Rd Zone0-539,Arterial,Aligned,14,Aligned,0.8885705990083322,0.8885705990083322,0.1054909404073421,0.005895575808981873,4.288477534370718e-05,39,39,85.5,12.9,25.8,50,85.7,0,0.0,0.36,12.96465888018268,77.59569583672804,12.9651268427378,77.59898253070855,"LINESTRING(77.595696 12.964659, 77.598983 12.965127)",40,13.7,No,0,0,0,Good,Medium,1.78,1.0,0.0,25.3,Moderate Risk,SEG-00539,SEG_000000539,70.5,39,20.2,Aligned,38.7,60.2,Side Impact Potential,Urban,5,True,Commercial,Poor Infrastructure,Arterial Rd Zone0-539,0,0.148,Light,False,30.5
540,Arterial Rd Zone0-540,Arterial,Aligned,12,Aligned,0.9415469224823156,0.9415469224823156,0.056194157172786564,0.0022282425591380207,3.06777857599095e-05,35,35,80.0,52.9,35.6,50,67.8,0,0.0,0.347,12.957143910293722,77.63049906031871,12.958688096091002,77.62771115215627,"LINESTRING(77.630499 12.957144, 77.627711 12.958688)",50,36.1,No,0,0,0,Poor,Low,1.99,1.0,0.0,22.8,Safe,SEG-00540,SEG_000000540,79.5,35,18.4,Aligned,34.6,57.8,Side Impact Potential,Urban,6,False,Residential,Meets Safe System Standards,Arterial Rd Zone0-540,0,0.0,,False,28.6
541,Arterial Rd Zone0-541,Arterial,Moderate Misalignment,44,Moderate Misalignment,0.8144255374793983,0.0779754221438104,0.8144255374793983,0.015176198895634601,0.09242284148115659,50,50,83.0,50.6,43.1,50,92.9,0,0.347,0.768,12.958688096091002,77.62771115215627,12.960128259491963,77.62411429579716,"LINESTRING(77.627711 12.958688, 77.624114 12.960128)",50,45.9,No,0,0,1,Good,Low,2.11,0.8,20.0,31.6,Moderate Risk,SEG-00541,SEG_000000541,71.1,50,31.7,Moderate Misalignment,60.0,61.0,Side Impact Potential,Urban,4,True,Mixed,Meets Safe System Standards,Arterial Rd Zone0-540,1,0.0,,False,54.8
542,Arterial Rd Zone0-542,Arterial,Moderate Misalignment,46,Moderate Misalignment,0.7395293581701898,0.07159037393743911,0.7395293581701898,0.11656899744051313,0.07231127045185808,30,30,85.5,54.1,47.4,30,88.1,0,0.0,0.427,12.98239428939998,77.59511276928876,12.983277315561878,77.59127732593063,"LINESTRING(77.595113 12.982394, 77.591277 12.983277)",60,55.2,No,0,0,2,Good,Medium,1.78,1.0,0.0,47.0,Moderate Risk,SEG-00542,SEG_000000542,54.1,30,61.2,High Misalignment,56.7,60.7,Significant Pedestrian Interaction,Urban,5,True,Mixed,Speed Limit Misaligned | High Pedestrian Interaction | Above Human Tolerance Limit,Arterial Rd Zone0-542,0,0.0,,False,52.1
543,Arterial Rd Zone0-543,Arterial,Moderate Misalignment,31,Moderate Misalignment,0.6989540278590227,0.2987576153263158,0.6989540278590227,0.0022362602474183643,5.209656724303359e-05,43,43,80.0,40.0,32.5,50,95.0,0,0.0,0.418,12.9490717915461,77.58394393737125,12.951470707973916,77.58691194940909,"LINESTRING(77.583944 12.949072, 77.586912 12.951471)",40,29.5,No,0,0,0,Good,Medium,1.91,0.94,6.0,25.0,Moderate Risk,SEG-00543,SEG_000000543,75.0,43,21.7,Aligned,42.6,56.9,Side Impact Potential,Urban,6,False,Mixed,Meets Safe System Standards,Arterial Rd Zone0-543,0,0.0,,False,36.6
544,Arterial Rd Zone0-544,Arterial,High Misalignment,66,High Misalignment,0.7573472440073362,0.01989363695156738,0.22215914882892018,0.7573472440073362,0.000599970212176147,30,30,78.0,50.6,54.0,30,81.8,0,0.0,0.39,12.97447510144581,77.5633857299528,12.97214809568967,77.56068678518709,"LINESTRING(77.563386 12.974475, 77.560687 12.972148)",50,62.8,No,0,0,1,Good,Low,2.38,1.0,0.0,43.9,Moderate Risk,SEG-00544,SEG_000000544,59.5,30,51.0,High Misalignment,47.6,69.0,Significant Pedestrian Interaction,Urban,2,True,Residential,Speed Limit Misaligned | High Pedestrian Interaction | Above Human Tolerance Limit,Arterial Rd Zone0-544,0,0.141,Light,False,37.9
